Ensembl Gene ID	Ensembl Transcript ID	Ensembl Protein ID	FlyBase cgid gene	FlyBase cgid transcript	FlyBase cgid protein
FBgn0033075	FBtr0114492	FBpp0112984	CG12110	CG12110-RF	CG12110-PF
FBgn0033075	FBtr0085996	FBpp0085340	CG12110	CG12110-RC	CG12110-PC
FBgn0033075	FBtr0085998	FBpp0085342	CG12110	CG12110-RE	CG12110-PE
FBgn0033075	FBtr0085995	FBpp0085339	CG12110	CG12110-RB	CG12110-PB
FBgn0033075	FBtr0085999	FBpp0085343	CG12110	CG12110-RD	CG12110-PD
FBgn0033075	FBtr0085997	FBpp0085341	CG12110	CG12110-RA	CG12110-PA
FBgn0086655	FBtr0114364	FBpp0112913	CG9397	CG9397-RH	CG9397-PH
FBgn0086655	FBtr0114363	FBpp0112912	CG9397	CG9397-RG	CG9397-PG
FBgn0086655	FBtr0086104	FBpp0085440	CG9397	CG9397-RD	CG9397-PD
FBgn0086655	FBtr0114365	FBpp0112914	CG9397	CG9397-RI	CG9397-PI
FBgn0086655	FBtr0114362	FBpp0112911	CG9397	CG9397-RB	CG9397-PB
FBgn0033076	FBtr0086155	FBpp0085488	CG15233	CG15233-RA	CG15233-PA
FBgn0040673	FBtr0089698	FBpp0088640	CG15234	CG15234-RA	CG15234-PA
FBgn0053919	FBtr0091923	FBpp0091159	CG33919	CG33919-RA	CG33919-PA
FBgn0004145	FBtr0086152	FBpp0085485	CG3161	CG3161-RC	CG3161-PC
FBgn0004145	FBtr0086150	FBpp0085483	CG3161	CG3161-RA	CG3161-PA
FBgn0004145	FBtr0086153	FBpp0085486	CG3161	CG3161-RD	CG3161-PD
FBgn0004145	FBtr0086151	FBpp0085484	CG3161	CG3161-RB	CG3161-PB
FBgn0026761	FBtr0086149	FBpp0085482	CG3152	CG3152-RA	CG3152-PA
FBgn0042085	FBtr0086107	FBpp0085442	CG3274	CG3274-RA	CG3274-PA
FBgn0033079	FBtr0086148	FBpp0085481	CG3174	CG3174-RA	CG3174-PA
FBgn0029131	FBtr0086108	FBpp0085443	CG33134	CG33134-RA	CG33134-PA
FBgn0050443	FBtr0086109	FBpp0085444	CG30443	CG30443-RA	CG30443-PA
FBgn0033081	FBtr0086147	FBpp0085480	CG3183	CG3183-RA	CG3183-PA
FBgn0013732	FBtr0086110	FBpp0085445	CG3273	CG3273-RA	CG3273-PA
FBgn0033083	FBtr0086146	FBpp0085479	CG3189	CG3189-RA	CG3189-PA
FBgn0000054	FBtr0086111	FBpp0085446	CG15845	CG15845-RA	CG15845-PA
FBgn0000054	FBtr0086113	FBpp0089262	CG15845	CG15845-RC	CG15845-PC
FBgn0000054	FBtr0086112	FBpp0085447	CG15845	CG15845-RB	CG15845-PB
FBgn0033085	FBtr0086114	FBpp0085448	CG15908	CG15908-RA	CG15908-PA
FBgn0033086	FBtr0086117	FBpp0085451	CG9410	CG9410-RC	CG9410-PC
FBgn0033086	FBtr0086115	FBpp0085449	CG9410	CG9410-RA	CG9410-PA
FBgn0033086	FBtr0086116	FBpp0085450	CG9410	CG9410-RB	CG9410-PB
FBgn0033087	FBtr0086145	FBpp0085478	CG3194	CG3194-RA	CG3194-PA
FBgn0033088	FBtr0086118	FBpp0085452	CG3271	CG3271-RA	CG3271-PA
FBgn0033088	FBtr0086119	FBpp0085453	CG3271	CG3271-RB	CG3271-PB
