orf	E0	E3	L	P	M	F	pvalue	Diffexpr
CG4889-A	0.182761405090091	0.195071956362042	0.160936517845415	0.169610492286578	0.138339113610389	0.153280514805485	0.188189645191696	FALSE
CG4889-B	0.134195871426368	0.151510080366777	0.159411162623045	0.190134521789448	0.209895705453361	0.154852658341001	0.0780893472183804	FALSE
CG4891-A	0.103189580295689	0.129787871296918	0.140740663180115	0.207962997065057	0.268531932753139	0.149786955409082	0.0101970793091970	FALSE
CG4892-A	0.116161821745445	0.114720755237555	0.133080148774859	0.210517677361507	0.283406850977575	0.14211274590306	0.00194564193191633	FALSE
CG4893-A	0.0815137937807771	0.103205507887084	0.263747592786606	0.184349021124476	0.208481924913751	0.158702159507305	3.94535341726451e-12	TRUE
CG4894-B	0.127403337245844	0.153202535781713	0.267558639899076	0.159902537416526	0.148172238342592	0.143760711314249	8.43491839100444e-05	FALSE
CG4894-C	0.157675893988289	0.142948333743663	0.155516908051758	0.167211390822119	0.216549357450679	0.160098115943492	0.207611266012461	FALSE
CG4897-A	0.170626277408959	0.208320741857506	0.206550276056847	0.138034989965285	0.0724916022964543	0.203976112414949	1.35112088582007e-05	FALSE
CG4898-A	0.190090465560547	0.202517416772611	0.183520033116508	0.167182272911696	0.100369050110254	0.156320761528385	8.13835913346566e-10	TRUE
CG4898-C	0.205134161226215	0.180286622621488	0.166295272665479	0.15751898771311	0.131478473916818	0.15928648185689	0.00453524507148481	FALSE
CG4898-H	0.109418693304257	0.130291848826672	0.196608862458651	0.17773181550385	0.22599114232921	0.159957637577359	0.00176218765794820	FALSE
CG4900-A	0.176198402670101	0.171183250120746	0.187036447690736	0.183273578136422	0.129641396557363	0.152666924824632	7.92551983806606e-09	TRUE
CG4901-A	0.193245940766047	0.169046073788902	0.153139181456786	0.156494752760161	0.154019686802153	0.174054364425952	3.49311894777493e-08	TRUE
CG4903-A	0.191602474569762	0.19158704382264	0.14928363752934	0.157837125333184	0.151762819993953	0.157926898751122	2.21802210846922e-10	TRUE
CG4904-A	0.202158409920519	0.217307292470296	0.169352542843134	0.162198909447815	0.102299496157547	0.14668334916069	0.000394046553333355	FALSE
CG4907-A	0.129865309689837	0.152819840642005	0.112707229863861	0.21212759357116	0.248367870621512	0.144112155611625	3.56735426669387e-06	TRUE
CG4909-A	0.19249941023784	0.189430836162108	0.145864207276597	0.141306995873159	0.157614802315047	0.17328374813525	2.71117984859118e-12	TRUE
CG4910-A	0.167201614372158	0.157206223375961	0.166912373852103	0.154963703901221	0.191121017313258	0.162595067185299	0.178326395606621	FALSE
CG4911-A	0.24030639561645	0.249635461969175	0.111150275824851	0.117875069236045	0.119744096832127	0.161288700521352	1.15361677698041e-17	TRUE
CG4912-B	0.184902142293817	0.189469265825939	0.171736689133338	0.153983935567406	0.10882797207533	0.191079995104171	0.0457803049316936	FALSE
CG4913-A	0.184686595139518	0.20952958080807	0.148007708274278	0.144468554203896	0.159594970811553	0.153712590762684	7.40773894702812e-07	TRUE
CG4914-A	0.153211544260129	0.147804239782043	0.206469607837161	0.210492075014684	0.143130755884324	0.138891777221659	1.25280727704418e-06	TRUE
CG4916-A	0.289706703532392	0.180932559103743	0.127195304502381	0.135112869655849	0.0971747758166012	0.169877787389034	0.00049425464114837	FALSE
CG4916-B	0.134161948153793	0.159526210838383	0.175010117900941	0.175776448953671	0.20506262996842	0.150462644184793	0.123328680221872	FALSE
CG4918-A	0.146266497790615	0.160753458321006	0.232483701975279	0.138075243342923	0.138932529506657	0.18348856906352	0.0167652076440561	FALSE
CG4919-A	0.20592663413275	0.151042872197065	0.218693734844399	0.138028013766106	0.137312334924901	0.14899641013478	0.0128479054883568	FALSE
CG4920-A	0.172172174491404	0.219957011185969	0.171406307817606	0.15317887738081	0.122930123427788	0.160355505696423	1.58186671684297e-07	TRUE
CG4922-A	0.196089160785778	0.234339089111594	0.187546831329349	0.101207929794343	0.135769626538205	0.145047362440732	0.00122045708425965	FALSE
CG4924-A	0.258272143468143	0.191072765418362	0.168335072565474	0.153410130989361	0.0927005796806617	0.136209307877998	3.51948591347621e-06	TRUE
CG4925-A	0.19240371249527	0.173466097503564	0.145748174983287	0.161604457259084	0.167186436786499	0.159591120972295	2.45422040060362e-13	TRUE
CG4926-A	0.147590630488733	0.161384815439792	0.162510410548834	0.217801546781753	0.155234929914399	0.155477666826489	8.12780496651506e-09	TRUE
CG4927-A	0.157625694624277	0.157467397370959	0.171476633748067	0.172575539491312	0.180523190456178	0.160331544309207	0.253557863320553	FALSE
CG4928-A	0.134199122266978	0.132077549652593	0.167247915443159	0.170840815813488	0.208856805277461	0.186777791546321	0.000449949447147442	FALSE
CG4928-B	0.13290689691563	0.099367521093526	0.298497689969262	0.120314096813127	0.159458545940785	0.18945524926767	0.000351193370627768	FALSE
CG4930-A	0.198662228540275	0.167357234829852	0.155917302661496	0.18767438980557	0.137432476327246	0.152956367835559	0.000280438155089972	FALSE
CG4931-A	0.203203987470101	0.218018127070801	0.148802050046051	0.157524256920605	0.118431890019405	0.154019688473038	6.31478238368023e-18	TRUE
CG4933-A	0.20584148529998	0.16483874414876	0.166307405590992	0.153474113197369	0.139986655235461	0.169551596527438	2.85052884069418e-07	TRUE
CG4934-A	0.15572377025552	0.142730243258336	0.220913961527534	0.159559872334408	0.153759639540343	0.167312513083859	0.0332671572178521	FALSE
CG4935-A	0.195258568496239	0.185018908071298	0.159330706751872	0.165184639834214	0.146907758045866	0.148299418800511	3.79757803973378e-07	TRUE
CG4936-A	0.210259501034934	0.20553165556011	0.162301003833213	0.156985942863873	0.115756893074529	0.149165003633341	1.91200648620590e-08	TRUE
CG4937-A	0.175355589642092	0.177349813069104	0.154804031145184	0.171187838962232	0.16078942185659	0.160513305324797	2.55707375357939e-09	TRUE
CG4938-A	0.218791852228578	0.135839058108647	0.195398015547418	0.14631883080347	0.139661825216861	0.163990418095027	0.0482056883994643	FALSE
CG4940-A	0.145850499335307	0.161708473132785	0.174908840387844	0.169296543050344	0.188223637761128	0.160012006332592	0.00111544453140778	FALSE
CG4942-A	0.202989885101213	0.168969728758168	0.151706488490668	0.151590902131846	0.155395555093933	0.169347440424172	0.000938564541654639	FALSE
CG4943-A	0.218088294702043	0.202809860267503	0.134802285618088	0.133055516228323	0.149032985024182	0.162211058159861	3.17530668891651e-17	TRUE
CG4944-B	0.149559914406968	0.156008914899434	0.154765555578211	0.198096327980132	0.188528341802879	0.153040945332376	0.00787727427800099	FALSE
CG4946-A	0.205361619961588	0.211061629626806	0.122381934458041	0.138418504489936	0.138203944939521	0.184572366524107	2.9596137087403e-08	TRUE
CG4947-A	0.179487412508148	0.188115997525411	0.173384757345537	0.158371469795968	0.14345488893316	0.157185473891776	0.000658350802812011	FALSE
CG4950-A	0.122182461200201	0.122580709532584	0.154080212190884	0.288528259459734	0.167943063882196	0.144685293734401	3.99553487385111e-08	TRUE
CG4951-A	0.206419538677069	0.187532972758293	0.153936790628169	0.163450328574426	0.122510051264169	0.166150318097874	1.58548914424585e-10	TRUE
CG4953-A	0.219354146729472	0.178043987126569	0.150667275400404	0.159340039798038	0.138674616462333	0.153919934483183	2.95705871907073e-05	FALSE
CG4954-A	0.187705320375694	0.22927763790136	0.208076739814549	0.138174994447091	0.105314273145563	0.131451034315742	2.82486581190879e-09	TRUE
CG4955-A	0.133102290326011	0.144512289918915	0.108605789060332	0.188594342531377	0.237133360259755	0.18805192790361	0.000448929256656104	FALSE
CG4956-A	0.163383405401316	0.140670696539021	0.167288187384018	0.152196089574719	0.204095370821354	0.172366250279572	0.232143777032296	FALSE
CG4957-A	0.155602254447442	0.135060337235134	0.195238130867458	0.128373507506862	0.18454415948409	0.201181610459015	1.90858227565577e-09	TRUE
CG4959-B	0.10748689060749	0.117156671867564	0.13890093194638	0.219836437682875	0.297620758358183	0.118998309537508	5.84227535113004e-11	TRUE
CG4960-A	0.11885072920485	0.125253192221799	0.12847084580367	0.194717076571434	0.284679608886443	0.148028547311804	0.00305011791459478	FALSE
CG4962-A	0.12112140974832	0.127798535761099	0.280350098522658	0.15409645979906	0.184715133237056	0.131918362931807	1.40295611153032e-05	FALSE
CG4963-A	0.160820444719338	0.151889713617484	0.146536191970801	0.154231435877718	0.203807434213363	0.182714779601296	4.28308815549578e-09	TRUE
CG4965-A	0.247482856823179	0.229116664338281	0.111933542984457	0.13243657058136	0.111217207102232	0.16781315817049	2.51159755256006e-09	TRUE
CG4966-A	0.157308448129919	0.146156534700153	0.170531532478731	0.193004736052732	0.161875039211783	0.171123709426683	0.276650974315053	FALSE
CG4966-B	0.211367146610865	0.211128484636886	0.115743506288934	0.172750228900305	0.137700049963954	0.151310583599056	0.00302987322459380	FALSE
CG4968-A	0.205410880750973	0.197953659808637	0.126159096899508	0.149672005312915	0.145872989044915	0.174931368183053	6.52887337865684e-06	FALSE
CG4969-A	0.162943342514087	0.15285990332737	0.154062869509716	0.170187612648725	0.18966111733802	0.170285154662082	0.00141467330338867	FALSE
